   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    10.712    1.77  1.64  1.42 82.   80.   58.    0.6   0.28  0.12
    10.718    1.78  1.64  1.42 82.   80.   56.    0.6   0.28  0.14
    10.729    1.78  1.64  1.4  80.   80.   58.    0.6   0.29  0.16
    10.763    1.76  1.63  1.4  82.   80.   56.    0.6   0.29  0.14
    10.764    1.76  1.63  1.4  82.   80.   56.    0.6   0.3   0.14
    10.825    1.78  1.63  1.38 82.   80.   58.    0.6   0.28  0.16
    10.829    1.77  1.62  1.4  82.   80.   58.    0.6   0.3   0.16
    10.898    1.76  1.63  1.38 80.   80.   58.    0.6   0.29  0.16
    10.905    1.78  1.62  1.4  80.   80.   58.    0.6   0.28  0.16
    10.917    1.76  1.64  1.4  82.   80.   56.    0.6   0.29  0.14
    10.949    1.76  1.62  1.4  82.   80.   56.    0.6   0.29  0.14
    10.966    1.77  1.63  1.42 82.   80.   56.    0.6   0.3   0.14
    10.967    1.78  1.63  1.4  82.   80.   58.    0.6   0.28  0.16
    10.975    1.77  1.63  1.42 82.   80.   56.    0.6   0.29  0.14
    10.982    1.78  1.63  1.38 80.   80.   58.    0.6   0.29  0.16
    11.046    1.77  1.62  1.42 82.   80.   56.    0.6   0.3   0.14
    11.052    1.77  1.64  1.4  80.   80.   58.    0.6   0.29  0.16
    11.057    1.77  1.62  1.42 82.   80.   56.    0.6   0.29  0.14
    11.081    1.76  1.62  1.4  82.   80.   56.    0.6   0.3   0.14
    11.127    1.77  1.64  1.38 80.   80.   58.    0.6   0.28  0.16
    11.254    1.77  1.63  1.4  82.   80.   58.    0.6   0.3   0.14
    11.272    1.77  1.64  1.42 82.   80.   56.    0.6   0.29  0.14
    11.274    1.77  1.64  1.38 80.   80.   58.    0.6   0.3   0.16
    11.288    1.78  1.62  1.42 82.   80.   56.    0.6   0.3   0.14
    11.324    1.76  1.64  1.38 80.   80.   58.    0.6   0.3   0.16
    11.338    1.78  1.62  1.38 82.   80.   56.    0.6   0.3   0.12
