   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    61.241    1.62  1.58  1.42 81.   80.   56.    0.5   0.3   0.1 
    61.410    1.62   1.55   1.38  81.    80.    55.     0.5    0.3    0.175
    61.925    1.64   1.55   1.38  81.    80.    58.     0.5    0.3    0.125
    62.909    1.66   1.58   1.38  81.    80.    58.     0.5    0.3    0.125
    64.660    1.62  1.58  1.42 81.   80.   55.    0.5   0.3   0.1 
    64.760    1.62   1.58   1.38  81.    80.    55.     0.5    0.3    0.175
    65.837    1.66   1.565  1.42  81.    80.    57.     0.5    0.3    0.1  
    66.661    1.62  1.58  1.4  81.   80.   56.    0.5   0.3   0.2 
    66.840    1.62  1.55  1.42 81.   80.   55.    0.5   0.3   0.2 
    66.881    1.62   1.565  1.4   81.    80.    56.     0.5    0.3    0.2  
    66.905    1.66   1.565  1.42  81.    80.    56.     0.5    0.3    0.125
    67.169    1.64  1.58  1.42 81.   80.   55.    0.5   0.3   0.2 
    67.964    1.66  1.58  1.42 81.   80.   57.    0.5   0.3   0.15
    68.187    1.64   1.565  1.42  81.    80.    58.     0.5    0.3    0.175
    68.322    1.64   1.58   1.38  81.    80.    56.     0.5    0.3    0.175
    68.895    1.62   1.565  1.4   81.    80.    57.     0.5    0.3    0.2  
    69.556    1.64  1.55  1.38 81.   80.   55.    0.5   0.3   0.15
    69.626    1.66   1.565  1.4   81.    80.    57.     0.5    0.3    0.1  
    70.790    1.66  1.58  1.4  81.   80.   55.    0.5   0.3   0.15
    72.947    1.64  1.55  1.4  81.   80.   57.    0.5   0.3   0.15
    73.890    1.64  1.55  1.42 81.   80.   58.    0.5   0.3   0.15
    74.223    1.66   1.565  1.38  81.    80.    55.     0.5    0.3    0.125
    74.550    1.66   1.565  1.38  81.    80.    57.     0.5    0.3    0.1  
    74.702    1.68  1.58  1.42 81.   80.   55.    0.5   0.3   0.1 
    75.052    1.62   1.565  1.4   81.    80.    58.     0.5    0.3    0.2  
    75.564    1.64   1.565  1.4   81.    80.    55.     0.5    0.3    0.175
    76.412    1.64   1.58   1.38  81.    80.    57.     0.5    0.3    0.175
